Flex1,Flex2,Flex3,Flex4,Flex5,Ax,Ay,Az,Label
4095,4095,3008,3057,2832,3.37,-9.3,3.2,L
4095,4095,2998,3085,2855,3.73,-9.04,3.38,L
4095,4095,3010,3025,2858,3.28,-9.16,3.07,L
4095,4095,2998,3058,2897,3.18,-9.11,3.19,L
4095,4095,3010,3131,2975,3.37,-9.14,2.99,L
4095,4095,3036,3181,2994,3.13,-9.16,3.11,L
4095,4095,3059,3162,3043,3.13,-8.96,3.17,L
4095,4095,3088,3207,3066,3.11,-9.09,3.07,L
4095,4095,3055,3137,3133,3.27,-9.09,3.05,L
4095,4095,2743,2806,2843,3.34,-9.07,2.88,L
4095,4095,3025,3085,3133,3.11,-9.12,3.05,L
4095,4095,3084,3133,3136,3.17,-9.16,3.07,L
4095,4095,3097,3152,3173,3.13,-9.11,3.16,L
4095,4095,3103,3216,3088,3.18,-9.25,2.79,L
4095,4095,3153,3189,3152,3.04,-9.25,2.98,L
4095,4095,3159,3227,3214,3.21,-9.12,2.79,L
4095,4095,2849,2947,2881,3.18,-9.13,2.94,L
4095,4095,2943,2982,2902,3.05,-9.17,3.08,L
4095,4095,4095,4095,2463,0.65,9.01,6.2,M
4095,4095,4095,4095,1968,0.18,8.8,5.96,M
4095,4095,4095,4095,2267,0.55,8.86,5.31,M
4095,4095,4095,4095,2352,0.44,8.98,5.53,M
4095,4095,4095,4095,2486,0.84,8.86,5.21,M
4095,4095,4095,4095,2659,0.71,8.95,5.42,M
4095,4095,4095,4095,2801,0.83,9.05,5.53,M
4095,4095,4095,4095,2881,0.88,8.88,5.27,M
4095,4095,4095,4095,2885,1.03,9.02,5.3,M
4095,4095,4095,4095,2906,0.46,8.94,5.65,M
4095,4095,4095,4095,2543,0.45,9.08,5.63,M
4095,4095,4095,4095,2928,0.66,9.15,5.36,M
4095,4095,4095,4095,2992,0.61,9.15,5.18,M
4095,4095,4095,4095,3043,0.45,9.14,5.16,M
4095,4095,4095,4095,3173,0.89,8.79,5.78,M
4095,4095,4095,4095,3211,0.62,8.79,5.74,M
4095,4095,4095,4095,3088,0.93,8.56,5.81,M
4095,4095,4095,4095,3293,0.42,8.84,5.66,M
4095,4095,4095,4095,3339,0.39,8.75,5.88,M
4095,4095,4095,4095,3297,0.44,8.72,5.74,M
4095,4095,4095,4095,2989,0.48,8.93,5.82,M
4095,4095,4095,4095,3344,0.41,8.94,5.32,M
4095,4095,4095,4095,3312,0.48,8.9,5.42,M
4095,4095,4095,4095,3376,0.32,9.02,5.55,M
4095,4095,4095,4095,3708,0.84,8.58,6.47,M
4095,4095,4095,4095,2735,2.04,6.24,8.87,N
4095,4095,4095,3341,2631,1.1,9.85,4.96,N
4095,4095,4095,3281,2331,1.43,9.51,3.65,N
4095,4095,4095,3185,2317,0.59,9.61,3.82,N
4095,4095,4095,3104,2411,1.19,9.46,3.99,N
4095,4095,4095,3093,2435,0.9,9.45,4.43,N
4095,4095,4095,3169,2608,0.52,9.33,4.56,N
4095,4095,4095,3182,2720,0.59,9.17,4.68,N
4095,4095,4095,2847,2490,0.68,9.33,4.23,N
4095,4095,4095,3248,2811,0.85,9.36,4.08,N
4095,4095,4095,3247,2842,0.73,9.41,4.19,N
4095,4095,4095,3271,2927,0.99,9.47,4.13,N
4095,4095,4095,3284,2942,0.86,9.58,4.26,N
4095,4095,4095,3307,2960,0.64,9.32,4.27,N
4095,4095,4095,3323,3003,0.72,9.44,4.24,N
4095,4095,4095,3331,3054,0.6,9.35,4.27,N
4095,4095,4095,3344,3093,0.79,9.53,4.25,N
4095,4095,4095,3367,3112,0.58,9.46,4.16,N
4095,4095,4095,3372,3153,0.76,9.51,4.17,N
4095,4095,4095,3373,3216,0.91,9.43,4.26,N
4095,4095,4095,3382,3232,0.98,9.31,4.32,N
4095,4095,4095,3033,2902,0.98,9.31,4.3,N
4095,4095,4095,3409,3258,0.76,9.33,4.55,N
4095,4095,4095,3347,3155,1.23,9.36,4.59,N
4095,3950,2923,4095,4095,1.53,-8.1,6.55,O
4095,3035,2813,3401,3566,1.09,-8.07,6.56,O
4095,2993,2771,3229,3648,1.31,-8.31,6.34,O
4095,2839,2864,3274,4038,1.23,-8.51,6.32,O
4095,2799,2915,3323,4095,1.3,-8.45,5.99,O
4095,2859,2995,3376,4095,1.24,-8.45,6.24,O
4095,2890,3057,3408,4095,1.25,-8.47,6.22,O
4095,2904,3083,3405,4095,1.25,-8.45,6.11,O
4095,2896,3215,3423,4095,1.23,-8.41,6.23,O
4095,2919,3263,3451,4095,1.29,-8.45,6.14,O
4095,2886,3351,3472,4095,1.43,-8.47,6.05,O
4095,2953,3344,3452,4095,1.25,-8.44,6.19,O
4095,2957,3419,3499,4095,1.19,-8.49,6.05,O
4095,2960,3543,3527,4095,1.17,-8.57,6.21,O
4095,2788,3286,3326,4095,1.22,-8.47,6.05,O
4095,2993,3463,3616,4095,1.38,-8.55,6.05,O
4095,2992,3542,3615,4095,1.42,-8.48,5.95,O
4095,3010,3531,3680,4095,1.22,-8.47,6.08,O
4095,2998,3625,3675,4095,1.37,-8.55,6.04,O
4095,3024,3614,3715,4095,1.34,-8.56,5.85,O
4095,3053,3600,3731,4095,1.29,-8.52,5.96,O
4095,3037,3616,3761,4095,1.28,-8.62,5.98,O
4095,2901,3387,3603,4095,1.21,-8.54,6.04,O
4095,3141,3698,3875,4095,1.3,-8.53,5.9,O
4095,3139,3699,3856,4095,1.36,-8.55,5.95,O
4095,3702,4095,4095,4095,1.55,-8.4,5.58,O
4095,4095,4095,3728,3257,0.5,8.23,6.69,P
4095,4095,4095,4095,3030,0.57,8.22,6.79,P
4095,4095,3977,3371,2682,0.7,8.2,6.84,P
4095,4095,3678,3207,2513,0.6,7.92,7.12,P
4095,4095,4095,3543,2752,0.23,7.95,7.18,P
4095,4095,4095,3661,2794,0.43,7.9,7.38,P
4095,4095,4095,3655,2853,0.35,7.99,7.29,P
4095,4095,4095,3871,2922,0.46,7.73,7.29,P
4095,4095,4095,3938,2967,0.06,7.84,7.37,P
4095,4095,4095,3934,2928,0.32,7.92,7.28,P
4095,4095,4095,4068,2938,0.78,7.95,7.26,P
4095,4095,4095,4095,2939,0.69,7.92,7.24,P
4095,4095,4095,4095,2958,0.64,7.97,7.34,P
4095,4095,4095,4095,3008,0.7,7.95,7.25,P
4095,4095,4095,4095,2912,0.51,8.01,7.21,P
4095,4095,4095,4095,2977,0.83,8.05,7.13,P
4095,4095,3888,3967,2687,0.67,7.88,7.3,P
4095,4095,4095,4095,3055,0.61,8.07,7.32,P
